domain,path,chars,bytes,words,lines
4kids.fi,scraped/4kids.fi.txt,27,31,6,2
4learning.fi,scraped/4learning.fi.txt,1767,1767,223,7
4nred.com,scraped/4nred.com.txt,51,51,8,1
4rr.fi,scraped/4rr.fi.txt,1722,1787,173,17
4safe.fi,scraped/4safe.fi.txt,2068,2125,199,60
4safety.fi,scraped/4safety.fi.txt,3657,3789,359,30
4sail.fi,scraped/4sail.fi.txt,645,658,78,7
4spalvelut.fi,scraped/4spalvelut.fi.txt,4809,4998,564,24
4straction.com,scraped/4straction.com.txt,1467,1485,243,7
4ts.com,scraped/4ts.com.txt,861,861,135,7
4tturva.fi,scraped/4tturva.fi.txt,51,51,8,1
4u2.fi,scraped/4u2.fi.txt,829,864,83,4
4uprofit.fi,scraped/4uprofit.fi.txt,239,239,41,3
4works.fi,scraped/4works.fi.txt,4345,4550,486,58
4x4parts.fi,scraped/4x4parts.fi.txt,980,986,159,17
4x4shop.fi,scraped/4x4shop.fi.txt,2610,2674,293,33
4xj.fi,scraped/4xj.fi.txt,37,37,2,1
5by5.fi,scraped/5by5.fi.txt,4610,4805,525,81
5thwavebrands.com,scraped/5thwavebrands.com.txt,3248,3252,448,25
5tl.fi,scraped/5tl.fi.txt,833,882,95,16
60100.fi,scraped/60100.fi.txt,711,745,80,19
60degreesnorth.fi,scraped/60degreesnorth.fi.txt,4421,4581,508,26
61n.fi,scraped/61n.fi.txt,5961,6264,663,59
61north.fi,scraped/61north.fi.txt,26,26,6,2
624.fi,scraped/624.fi.txt,637,647,63,3
62north.net,scraped/62north.net.txt,671,684,94,15
65security.fi,scraped/65security.fi.txt,51,51,8,1
67pictures.com,scraped/67pictures.com.txt,278,278,42,5
69tattoo.com,scraped/69tattoo.com.txt,91,151,10,1
6dplanner.com,scraped/6dplanner.com.txt,16338,16978,1748,224
6dtape.com,scraped/6dtape.com.txt,4064,4079,664,27
6senseinnovations.ai,scraped/6senseinnovations.ai.txt,2435,2567,261,45
6t.fi,scraped/6t.fi.txt,355,364,33,2
7-taivas.com,scraped/7-taivas.com.txt,1182,1221,129,18
7030digital.com,scraped/7030digital.com.txt,2062,2136,223,17
70north.fi,scraped/70north.fi.txt,2648,2779,297,21
720.io,scraped/720.io.txt,475,495,62,6
73health.fi,scraped/73health.fi.txt,4480,4536,702,48
75pharmagroup.com,scraped/75pharmagroup.com.txt,3473,3477,541,38
78import.fi,scraped/78import.fi.txt,51,51,8,1
7ense.fi,scraped/7ense.fi.txt,74,74,12,4
7mod.fi,scraped/7mod.fi.txt,67,70,8,1
7n.com,scraped/7n.com.txt,828,828,127,17
7veljesta.fi,scraped/7veljesta.fi.txt,38,40,5,1
8-bit-sheep.com,scraped/8-bit-sheep.com.txt,20036,20072,3011,225
8-production.fi,scraped/8-production.fi.txt,431,436,44,8
82service.fi,scraped/82service.fi.txt,1851,1915,215,18
88pipes.fi,scraped/88pipes.fi.txt,1348,1367,132,29
8aisti.com,scraped/8aisti.com.txt,4707,4826,512,44
8bitbrewing.fi,scraped/8bitbrewing.fi.txt,251,258,29,2
8raita.fi,scraped/8raita.fi.txt,4612,4745,746,103
8viikkoa.fi,scraped/8viikkoa.fi.txt,8342,8671,1133,118
8wave.ai,scraped/8wave.ai.txt,6012,6022,954,89
9-hanka.fi,scraped/9-hanka.fi.txt,3191,3265,355,21
99motors.fi,scraped/99motors.fi.txt,1066,1098,117,10
9core.one,scraped/9core.one.txt,51,51,8,1
9rturva.fi,scraped/9rturva.fi.txt,51,51,8,1
9si.fi,scraped/9si.fi.txt,88,90,13,2
9solutions.fi,scraped/9solutions.fi.txt,1032,1075,100,12
9xx-parts.com,scraped/9xx-parts.com.txt,748,783,104,46
_k_ss_hk_.fi,scraped/_k_ss_hk_.fi.txt,1748,1837,172,30
_ma.fi,scraped/_ma.fi.txt,51,51,8,1
a-autopalvelu.com,scraped/a-autopalvelu.com.txt,616,633,69,5
a-comptor.fi,scraped/a-comptor.fi.txt,51,51,8,1
a-cx.com,scraped/a-cx.com.txt,1284,1286,197,22
a-eristys.fi,scraped/a-eristys.fi.txt,320,334,43,3
a-fysitiimi.fi,scraped/a-fysitiimi.fi.txt,514,526,60,7
a-hammas.fi,scraped/a-hammas.fi.txt,6174,6321,680,108
a-isannointi.fi,scraped/a-isannointi.fi.txt,4701,4966,488,40
a-kirppis.fi,scraped/a-kirppis.fi.txt,1703,1760,212,37
a-klinikka.fi,scraped/a-klinikka.fi.txt,1585,1644,166,25
a-konsultit.fi,scraped/a-konsultit.fi.txt,1928,1976,183,22
a-kumppanit.fi,scraped/a-kumppanit.fi.txt,87,87,15,2
a-kupsu.com,scraped/a-kupsu.com.txt,42,42,4,2
a-legal.fi,scraped/a-legal.fi.txt,1656,1694,161,14
a-lukko.fi,scraped/a-lukko.fi.txt,51,51,8,1
a-metsa.fi,scraped/a-metsa.fi.txt,1046,1082,99,26
a-moottori.com,scraped/a-moottori.com.txt,133,137,15,3
a-nostin.fi,scraped/a-nostin.fi.txt,51,51,8,1
a-o.fi,scraped/a-o.fi.txt,2329,2408,257,50
a-palojoki.fi,scraped/a-palojoki.fi.txt,477,489,57,17
a-pinta.fi,scraped/a-pinta.fi.txt,429,434,41,22
a-pipe.fi,scraped/a-pipe.fi.txt,2141,2225,210,33
a-powersystems.fi,scraped/a-powersystems.fi.txt,833,849,82,9
